name	numbers	percent
Financials 	361753750	30%
Information Technology 	225729191	19%
Healthcare	179147294	15%
Energy	112125000	9%
Consumer Discretionary 	97924311	8%
Real Estate 	58039770	5%
Industrials 	48221503	4%
Consumer Staples 	47111832	4%
Telecommunications 	29724800	3%
Utilities 	27350000	2%
Other 	13055000	1%
Materials 	2100000	0%
