name	numbers	percent
$0 - $499,999	27	14%
$500,000 - $999,999	33	17%
$1,000,000 - $4,999,999	83	42%
$5,000,000 - $9,999,999	28	14%
$10,000,000 - $49,999,999	23	12%
$50,000,000 or more	4	2%
