name	numbers	percent
Information Technology 	70	35%
Consumer Discretionary	28	14%
Healthcare	24	12%
Consumer Staples	17	9%
Financials	15	8%
Real Estate 	14	8%
Energy	8	4%
Other 	7	4%
Industrial	5	3%
Utilities 	4	1%
Materials 	3	1%
Telecommunications 	3	1%
