name	numbers	percent
Information Technology 	53	31%
Other 	34	20%
Real Estate 	26	15%
Healthcare	20	12%
Consumer Discretionary	12	7%
Energy	10	6%
Consumer Staples	4	2%
Materials 	4	2%
Financials	3	2%
Industrial	2	1%
Telecommunications 	2	1%
Utilities 	0	0%
