name	numbers	percent
Real Estate 	902073150	57%
Healthcare	218343310	14%
Information Technology 	200240670	13%
Consumer Discretionary 	78499055	5%
Consumer Staples 	65227504	4%
Other 	39195433	2%
Materials 	24322433	2%
Energy	17219625	1%
Financials 	17000000	1%
Industrials 	8941545	1%
Telecommunications 	3755220	0%
Utilities 	0	0%
