name	numbers	percent
$0 - $499,999	26	15%
$500,000 - $999,999	38	22%
$1,000,000 - $4,999,999	64	38%
$5,000,000 - $9,999,999	18	11%
$10,000,000 - $49,999,999	16	9%
$50,000,000 or more	8	5%
