name	numbers	percent
Information Technology 	63	28%
Real Estate 	50	22%
Healthcare	38	17%
Other 	21	9%
Financials	19	8%
Consumer Discretionary	16	7%
Energy	8	4%
Consumer Staples	5	2%
Materials 	3	1%
Utilities 	2	1%
Telecommunications 	1	0%
Industrial	0	0%
