name	numbers	percent
Real Estate 	2385985060	66%
Other 	262344126	7%
Healthcare	234545407	6%
Energy	227295395	6%
Information Technology 	207032848	6%
Financials 	190402789	5%
Consumer Discretionary 	78718704	2%
Consumer Staples 	41251731	1%
Materials 	4733037	0%
Utilities 	3600000	0%
Telecommunications 	1060000	0%
Industrials 	0	0%
