name	numbers	percent
$0 - $499,999	24	11%
$500,000 - $999,999	35	15%
$1,000,000 - $4,999,999	92	41%
$5,000,000 - $9,999,999	35	15%
$10,000,000 - $49,999,999	29	13%
$50,000,000 or more	11	5%
