name	numbers	percent
Information Technology 	59	29%
Other 	36	18%
Real Estate 	33	16%
Healthcare	26	13%
Consumer Discretionary	14	7%
Financials	9	4%
Materials 	9	4%
Energy	6	3%
Industrial	4	2%
Consumer Staples	3	1%
Telecommunications 	3	1%
Utilities 	2	1%
