name	numbers	percent
Information Technology 	586043931	34%
Real Estate 	389328887	22%
Financials 	286870584	17%
Healthcare	183158690	11%
Other 	99709093	6%
Industrials 	74580696	4%
Consumer Discretionary 	53066949	3%
Materials 	30804939	2%
Energy	9903500	1%
Utilities 	8500098	0%
Consumer Staples 	7120000	0%
Telecommunications 	6773224	0%
