name	numbers	percent
Healthcare	336214546	26%
Real Estate 	283723251	22%
Information Technology 	272842816	21%
Industrials 	115500000	9%
Other 	97978460	8%
Financials 	72294990	6%
Consumer Discretionary 	57039249	4%
Energy	27060336	2%
Materials 	9360000	1%
Consumer Staples 	6275000	0%
Telecommunications 	1614723	0%
Utilities 	0	0%
