name	numbers	percent
Information Technology 	50	29%
Other 	34	20%
Real Estate 	30	17%
Healthcare	20	12%
Consumer Discretionary	14	8%
Energy	9	5%
Financials	8	5%
Consumer Staples	3	2%
Industrial	2	1%
Materials 	2	1%
Telecommunications 	1	1%
Utilities 	0	0%
