name	numbers	percent
$0 - $499,999	23	13%
$500,000 - $999,999	29	17%
$1,000,000 - $4,999,999	66	38%
$5,000,000 - $9,999,999	26	15%
$10,000,000 - $49,999,999	22	13%
$50,000,000 or more	7	4%
