name	numbers	percent
Financials 	686832517	38%
Real Estate 	320901478	18%
Healthcare	258883825	15%
Information Technology 	214948736	12%
Energy	169545500	10%
Consumer Discretionary 	57203762	3%
Other 	20915014	1%
Consumer Staples 	20529456	1%
Utilities 	18850000	0%
Industrials 	18303918	1%
Telecommunications 	1500000	0%
Materials 	500000	1%
