name	numbers	percent
Information Technology 	55	29%
Consumer Discretionary	34	18%
Healthcare	26	14%
Real Estate 	22	14%
Consumer Staples	15	8%
Financials	14	7%
Energy	8	4%
Industrial	6	3%
Other 	5	3%
Utilities 	3	0%
Materials 	1	0%
Telecommunications 	1	0%
