name	numbers	percent
$0 - $499,999	22	12%
$500,000 - $999,999	37	20%
$1,000,000 - $4,999,999	74	39%
$5,000,000 - $9,999,999	26	14%
$10,000,000 - $49,999,999	25	13%
$50,000,000 or more	5	3%
