name	numbers	percent
Information Technology 	433259127	30%
Real Estate 	373392633	25%
Financials 	201605000	14%
Healthcare	177565289	12%
Other 	119217593	8%
Energy	71466669	5%
Consumer Discretionary 	52037064	4%
Consumer Staples 	8999997	1%
Industrials 	8341748	1%
Utilities 	7328120	0%
Materials 	6400000	0%
Telecommunications 	6300000	0%
