name	numbers	percent
$0 - $499,999	21	13%
$500,000 - $999,999	18	11%
$1,000,000 - $4,999,999	62	37%
$5,000,000 - $9,999,999	28	17%
$10,000,000 - $49,999,999	33	20%
$50,000,000 or more	5	3%
