name	numbers	percent
Information Technology 	44	26%
Real Estate 	32	19%
Healthcare	21	13%
Other 	21	13%
Consumer Discretionary	11	7%
Financials	11	7%
Energy	7	4%
Materials 	5	3%
Consumer Staples	4	2%
Industrial	4	2%
Utilities 	4	2%
Telecommunications 	3	2%
