name	numbers	percent
Real Estate 	296965600	24%
Healthcare	291582950	24%
Information Technology 	199016008	16%
Energy	146346154	12%
Financials 	121320000	10%
Other 	69954399	6%
Consumer Discretionary 	56210460	5%
Materials 	25895923	2%
Utilities 	5043306	0%
Telecommunications 	4500000	0%
Industrials 	3800000	0%
Consumer Staples 	0	0%
