name	numbers	percent
$0 - $499,999	26	13%
$500,000 - $999,999	34	17%
$1,000,000 - $4,999,999	82	40%
$5,000,000 - $9,999,999	29	14%
$10,000,000 - $49,999,999	33	16%
$50,000,000 or more	2	1%
