name	numbers	percent
Information Technology 	51	25%
Real Estate 	40	19%
Healthcare	39	19%
Other 	26	13%
Consumer Discretionary	17	8%
Energy	11	5%
Financials	11	5%
Materials 	6	3%
Industrial	2	1%
Telecommunications 	2	1%
Utilities 	1	0%
Consumer Staples	0	0%
