name	numbers	percent
$0 - $499,999	28	12%
$500,000 - $999,999	36	16%
$1,000,000 - $4,999,999	96	43%
$5,000,000 - $9,999,999	23	10%
$10,000,000 - $49,999,999	37	16%
$50,000,000 or more	5	2%
