name	numbers	percent
Information Technology 	72	32%
Healthcare	46	20%
Real Estate 	34	15%
Consumer Discretionary	28	13%
Energy	12	5%
Financials	11	5%
Consumer Staples	9	4%
Industrial	7	3%
Other 	4	2%
Materials 	2	1%
Telecommunications 	0	0%
Utilities 	0	0%
