name	numbers	percent
Consumer Discretionary	37	17%
Information Technology 	68	31%
Healthcare	45	20%
Real Estate 	20	9%
Energy	13	6%
Materials 	9	4%
Industrial	9	4%
Financials	9	4%
Consumer Staples	7	3%
Utilities 	3	1%
Other 	3	1%
Telecommunications 	0	0%
