name	numbers	percent
Materials 	1044572821	32%
Financials 	691908600	22%
Real Estate 	360881466	11%
Healthcare	301364285	9%
Energy	259372120	8%
Information Technology 	265199529	8%
Consumer Discretionary 	206197778	6%
Utilities 	5300000	1%
Other 	25000000	1%
Industrials 	32698002	1%
Consumer Staples 	34500164	1%
Telecommunications 	0	0%
