name	numbers	percent
$0 - $499,999	42	19%
$500,000 - $999,999	32	15%
$1,000,000 - $4,999,999	83	40%
$5,000,000 - $9,999,999	28	12%
$10,000,000 - $49,999,999	28	13%
$50,000,000 or more	10	1%
