name	numbers	percent
$0 - $499,999	30	14%
$500,000 - $999,999	35	16%
$1,000,000 - $4,999,999	93	43%
$5,000,000 - $9,999,999	23	11%
$10,000,000 - $49,999,999	32	15%
$50,000,000 or more	4	2%
