name	numbers	percent
Information Technology 	65	30%
Consumer Discretionary	34	16%
Healthcare	34	16%
Real Estate 	21	9%
Financials	15	7%
Energy	14	6%
Consumer Staples	12	6%
Industrial	7	3%
Telecommunications 	5	2%
Other 	5	2%
Utilities 	3	2%
Materials 	2	1%
