name	numbers	percent
Healthcare	476234546	30%
Information Technology 	264556904	16%
Real Estate 	219249999	14%
Energy	190276679	12%
Consumer Discretionary 	141896111	9%
Financials 	110074200	7%
Materials 	64724210	4%
Telecommunications 	47644400	3%
Industrials 	43786500	3%
Utilities 	19875555	1%
Consumer Staples 	14575198	1%
Other 	4840000	0%
