name	numbers	percent
Healthcare	360960451	19%
Financials 	344795000	18%
Other 	325404991	17%
Information Technology 	257884417	14%
Real Estate 	226242200	12%
Energy	211401250	11%
Industrials 	70389632	4%
Consumer Discretionary 	42923937	2%
Consumer Staples 	36058977	2%
Utilities 	25000000	1%
Materials 	4100000	0%
Telecommunications 	3500000	0%
