name	numbers	percent
$0 - $499,999	35	15%
$500,000 - $999,999	31	13%
$1,000,000 - $4,999,999	104	44%
$5,000,000 - $9,999,999	33	14%
$10,000,000 - $49,999,999	29	12%
$50,000,000 or more	6	3%
