name	numbers	percent
Information Technology 	53	22%
Healthcare	48	20%
Real Estate 	38	16%
Consumer Discretionary	32	14%
Consumer Staples	20	8%
Energy	16	7%
Industrial	11	5%
Financials	9	4%
Other 	7	2%
Materials 	2	1%
Utilities 	1	1%
Telecommunications 	1	0%
