name	numbers	percent
$0 - $499,999	26	12%
$500,000 - $999,999	22	10%
$1,000,000 - $4,999,999	96	46%
$5,000,000 - $9,999,999	32	15%
$10,000,000 - $49,999,999	26	12%
$50,000,000 or more	8	4%
