name	numbers	percent
Information Technology 	57	27%
Real Estate 	45	21%
Other 	37	18%
Healthcare	30	14%
Energy	12	6%
Financials	11	5%
Consumer Discretionary	6	3%
Materials 	5	2%
Utilities 	3	1%
Consumer Staples	2	1%
Industrial	2	1%
Telecommunications 	0	0%
