name	numbers	percent
Real Estate 	1589088466	63%
Healthcare	261945144	10%
Information Technology 	232273802	9%
Financials 	226500000	9%
Other 	114991165	5%
Energy	44701848	2%
Materials 	23895000	1%
Consumer Discretionary 	19825000	1%
Utilities 	11334494	0%
Consumer Staples 	10000000	0%
Industrials 	7525000	0%
Telecommunications 	0	0%
