name	numbers	percent
$0 - $499,999	35	15%
$500,000 - $999,999	41	17%
$1,000,000 - $4,999,999	91	38%
$5,000,000 - $9,999,999	46	19%
$10,000,000 - $49,999,999	27	11%
$50,000,000 or more	5	2%
