name	numbers	percent
Information Technology 	85	35%
Healthcare	39	16%
Real Estate 	33	14%
Consumer Discretionary	21	9%
Consumer Staples	18	7%
Financials	12	5%
Industrial	11	5%
Other 	10	3%
Materials 	9	4%
Energy	6	2%
Telecommunications 	1	0%
Utilities 	0	0%
