name	numbers	percent
Financials 	543999925	30%
Information Technology 	278536836	15%
Real Estate 	236841495	13%
Healthcare	195032248	11%
Energy	126500520	7%
Industrials 	118100000	7%
Consumer Discretionary 	117430000	7%
Consumer Staples 	64739794	4%
Materials 	51015000	3%
Other 	44950423	2%
Telecommunications 	15000000	1%
Utilities 	0	0%
