name	numbers	percent
Information Technology 	73	30%
Healthcare	38	16%
Consumer Discretionary	34	14%
Real Estate 	31	13%
Financials	21	9%
Other 	16	7%
Consumer Staples	11	5%
Energy	6	3%
Industrial	6	2%
Materials 	3	1%
Telecommunications 	1	0%
Utilities 	1	0%
