name	numbers	percent
Financials 	1073182348	37%
Information Technology 	936868365	33%
Other 	309232815	11%
Healthcare	229534551	8%
Consumer Discretionary 	104818157	4%
Energy	94834000	3%
Consumer Staples 	54090000	2%
Industrials 	37875000	1%
Real Estate 	32166208	1%
Materials 	7607000	0%
Utilities 	6000000	0%
Telecommunications 	1000000	0%
