name	numbers	percent
$0 - $499,999	43	18%
$500,000 - $999,999	39	16%
$1,000,000 - $4,999,999	102	42%
$5,000,000 - $9,999,999	25	10%
$10,000,000 - $49,999,999	25	10%
$50,000,000 or more	7	3%%
