name	numbers	percent
Information Technology 	67	31%
Real Estate 	34	16%
Healthcare	33	15%
Consumer Discretionary	22	10%
Other 	17	8%
Consumer Staples	12	6%
Financials	11	5%
Energy	10	5%
Materials 	4	2%
Telecommunications 	4	2%
Industrial	3	1%
Utilities 	0	0%
