name	numbers	percent
$0 - $499,999	33	15%
$500,000 - $999,999	23	11%
$1,000,000 - $4,999,999	91	42%
$5,000,000 - $9,999,999	35	16%
$10,000,000 - $49,999,999	25	12%
$50,000,000 or more	10	5%
