name	numbers	percent
Financials 	2651754154	61%
Information Technology 	445983691	10%
Energy	418028173	10%
Real Estate 	410107465	9%
Healthcare	164874520	4%
Other 	101821981	2%
Consumer Discretionary 	54467900	1%
Consumer Staples 	43258660	1%
Industrials 	15260000	0%
Telecommunications 	13900000	0%
Materials 	13446824	0%
Utilities 	0	0%
