name	numbers	percent
$0 - $499,999	30	13%
$500,000 - $999,999	31	13%
$1,000,000 - $4,999,999	97	42%
$5,000,000 - $9,999,999	23	10%
$10,000,000 - $49,999,999	44	19%
$50,000,000 or more	5	2%
