name	numbers	percent
Information Technology 	463758965	25%
Financials 	455615058	24%
Real Estate 	353430546	19%
Healthcare	208669656	11%
Consumer Discretionary 	146471194	8%
Energy	117528750	6%
Consumer Staples 	53692789	3%
Industrials 	53247250	3%
Other 	11560733	1%
Utilities 	10000000	0%
Materials 	6250000	0%
Telecommunications 	3500000	0%
