name	numbers	percent
Information Technology 	78	34%
Consumer Discretionary	36	16%
Healthcare	30	13%
Real Estate 	29	13%
Consumer Staples	19	8%
Financials	15	6%
Energy	7	3%
Industrial	6	3%
Materials 	3	1%
Other 	3	1%
Telecommunications 	2	1%
Utilities 	2	1%
