name	numbers	percent
Healthcare	489765667	22%
Energy	422415823	19%
Information Technology 	377304194	17%
Real Estate 	307133405	14%
Consumer Discretionary 	303721433	14%
Financials 	156965249	7%
Consumer Staples 	144160164	6%
Industrials 	13420592	1%
Utilities 	7450000	0%
Other 	3430750	0%
Telecommunications 	3050000	0%
Materials 	800000	0%
