name	numbers	percent
$0 - $499,999	24	10%
$500,000 - $999,999	36	16%
$1,000,000 - $4,999,999	91	40%
$5,000,000 - $9,999,999	33	14%
$10,000,000 - $49,999,999	35	15%
$50,000,000 or more	10	4%
