name	numbers	percent
Information Technology 	475371521	39%
Real Estate 	265405926	22%
Energy	144181288	12%
Healthcare	110649220	9%
Financials 	87527372	7%
Consumer Discretionary 	48647587	4%
Consumer Staples 	36900620	3%
Materials 	31000000	2%
Industrials 	16940000	1%
Other 	10040000	1%
Telecommunications 	5000001	0%
Utilities 	0	0%
