name	numbers	percent
Information Technology 	57	27%
Healthcare	36	17%
Real Estate 	28	14%
Consumer Discretionary	27	13%
Consumer Staples	18	8%
Energy	14	7%
Financials	14	7%
Other 	8	3%
Industrial	7	3%
Materials 	3	1%
Telecommunications 	1	0%
Utilities 	0	0%
