name	numbers	percent
$0 - $499,999	37	17%
$500,000 - $999,999	31	15%
$1,000,000 - $4,999,999	98	46%
$5,000,000 - $9,999,999	25	12%
$10,000,000 - $49,999,999	18	8%
$50,000,000 or more	4	2%
