name	numbers	percent
Information Technology 	87	41%
Real Estate 	29	14%
Consumer Discretionary	27	13%
Healthcare	26	12%
Financials	11	5%
Industrial	9	4%
Consumer Staples	8	4%
Energy	6	3%
Other 	6	3%
Materials 	3	1%
Telecommunications 	0	0%
Utilities 	0	0%
