name	numbers	percent
Real Estate 	618025932	38%
Information Technology 	391869870	24%
Healthcare	197149663	12%
Financials 	186771472	12%
Consumer Discretionary 	105792486	7%
Energy	56026004	3%
Consumer Staples 	28930250	2%
Other 	23570000	1%
Industrials 	13220028	1%
Materials 	5607572	0%
Telecommunications 	0	0%
Utilities 	0	0%
