name	numbers	percent
$0 - $499,999	37	17%
$500,000 - $999,999	40	19%
$1,000,000 - $4,999,999	93	44%
$5,000,000 - $9,999,999	17	8%
$10,000,000 - $49,999,999	20	9%
$50,000,000 or more	5	2%
