name	numbers	percent
Real Estate 	1086635260	43%
Financials 	552706837	22%
Information Technology 	281862890	11%
Healthcare	268760690	11%
Energy	157134000	6%
Consumer Discretionary 	98827063	4%
Other 	59705161	2%
Consumer Staples 	18009249	1%
Utilities 	8451001	0%
Industrials 	3175000	0%
Materials 	415000	0%
Telecommunications 	0	0%
