name	numbers	percent
$0 - $499,999	26	13%
$500,000 - $999,999	24	12%
$1,000,000 - $4,999,999	73	37%
$5,000,000 - $9,999,999	33	17%
$10,000,000 - $49,999,999	35	18%
$50,000,000 or more	9	5%
