name	numbers	percent
Information Technology 	57	29%
Real Estate 	41	21%
Healthcare	35	18%
Consumer Discretionary	19	10%
Financials	13	7%
Other 	12	6%
Energy	10	5%
Consumer Staples	8	4%
Industrial	3	2%
Materials 	1	1%
Utilities 	1	1%
Telecommunications 	0	0%
