name	numbers	percent
$0 - $499,999	22	11%
$500,000 - $999,999	28	14%
$1,000,000 - $4,999,999	85	43%
$5,000,000 - $9,999,999	23	12%
$10,000,000 - $49,999,999	32	16%
$50,000,000 or more	6	3%
