name	numbers	percent
Real Estate 	1109846478	53%
Financials 	284639635	14%
Information Technology 	230468203	11%
Healthcare	178832154	9%
Other 	71930000	3%
Consumer Discretionary 	63265109	3%
Materials 	57568688	3%
Energy	50462720	2%
Telecommunications 	17841015	1%
Industrials 	13307117	1%
Consumer Staples 	11000000	1%
Utilities 	0	0%
