name	numbers	percent
Information Technology 	54	28%
Real Estate 	35	18%
Other 	33	17%
Healthcare	28	14%
Consumer Discretionary	16	8%
Financials	13	7%
Energy	5	3%
Industrial	5	3%
Materials 	3	2%
Consumer Staples	2	1%
Telecommunications 	2	1%
Utilities 	0	0%
