name	numbers	percent
$0 - $499,999	29	14%
$500,000 - $999,999	35	17%
$1,000,000 - $4,999,999	76	38%
$5,000,000 - $9,999,999	24	12%
$10,000,000 - $49,999,999	28	14%
$50,000,000 or more	10	5%
